Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_10d,future_return_10d,price_up_10d
2020-05-19,9729.0380859375,9836.0478515625,9539.6240234375,9727.0634765625,39254288955,1,5,2020,0,0,9566.3126953125,9248.996484375,7989.886806640625,9380.696747336842,8910.447693873592,470.2490534632507,486.79340162500387,58.568090403783934,9248.996484375,434.0812242975112,10117.158932970022,8380.834035779979,0.00025321252090737545,0.02635106777860433,0.035700496086095816,-0.0004811719406128123,0.10544210704902857,9439.1240234375,-0.029798841359152117,0
2020-05-20,9522.9814453125,9804.7939453125,9447.201171875,9725.3291015625,36546239703,2,5,2020,0,0,9605.26953125,9292.21787109375,8051.573544921875,9402.58670087156,8955.820564350548,446.7661365210115,478.78794860420544,53.043215789497076,9292.21787109375,414.8041390179745,10121.826149129698,8462.609593057801,-0.02117954918100662,0.01870107880380187,0.03587804600166967,0.020881224328873405,0.09983511833888081,9700.4140625,0.018632044828233774,1
2020-05-21,9081.76171875,9555.2421875,8869.9306640625,9522.740234375,39326160532,3,5,2020,0,0,9546.219140625,9303.067626953125,8101.073251953125,9353.229011314397,8965.149538750507,388.0794725638898,460.64625339614236,38.94926641614577,9303.067626953125,405.7747535254216,10114.61713400397,8491.51811990228,-0.04633209978369557,0.029274116241541234,0.03737888250569243,-0.031486778569019824,0.024478379064063915,9461.05859375,0.041764680328147286,1
2020-05-22,9182.5771484375,9232.9365234375,9008.638671875,9080.3349609375,29810773699,4,5,2020,0,0,9448.58671875,9312.766650390626,8148.8523046875,9326.974878564106,8981.25528761621,345.719590947896,437.6609209064931,41.5960484465152,9312.766650390626,400.14171298887,10113.050076368365,8512.483224412887,0.01110086707949609,0.023686276942939902,0.037335533845287164,-0.050478261936453106,0.02158072896833363,10167.2685546875,0.10723475450653353,1
2020-05-23,9209.287109375,9302.501953125,9118.1083984375,9185.0625,27727866812,5,5,2020,0,0,9345.1291015625,9328.357568359375,8198.370302734374,9308.869067919628,8998.146533672416,310.722534247212,412.2732435746369,44.80986094791991,9328.357568359375,389.02905816765576,10106.415684694686,8550.299452024065,0.0029087652089092586,0.02323738381691847,0.0372310013238152,-0.05318296271300049,0.0350457380785969,9529.8037109375,0.034803627876496046,1
2020-05-24,8790.3681640625,9288.404296875,8787.2509765625,9212.283203125,32518803300,6,5,2020,0,0,9157.3951171875,9322.24326171875,8236.827119140626,9229.099698095455,8982.75554333094,246.34415476451431,379.0874258126124,50.51629373833392,9322.24326171875,396.790031189534,10115.823324097817,8528.663199339682,-0.045488748514099786,0.02662855075674024,0.038741423933352906,-0.09648126706706672,-0.013720506679517075,9656.7177734375,0.0985566921891714,1
2020-05-25,8906.9345703125,8951.005859375,8719.66796875,8786.107421875,31288157264,0,5,2020,0,0,9034.1857421875,9317.436474609374,8279.14322265625,9179.535832282692,8977.139174959204,202.3966573234884,343.74927211478763,54.69649582269166,9317.436474609374,401.41539593469275,10120.26726647876,8514.605682739988,0.013260696716498988,0.030372981603363883,0.038790487658125566,-0.06469054660431339,-0.010678106340458515,9800.63671875,0.10033779201839854,1
2020-05-26,8835.052734375,8991.9677734375,8757.2939453125,8909.5859375,29584186947,1,5,2020,0,0,8984.8439453125,9295.751025390626,8310.40865234375,9126.538432604586,8966.614253434449,159.924179170137,306.9842535258575,50.49033626145421,9295.751025390626,415.646088612775,10127.043202616176,8464.458848165075,-0.008070322664891605,0.023998296807479474,0.03820078413280724,-0.027165322325694796,-0.04679254872823413,9665.533203125,0.09399836013641516,1
2020-05-27,9181.017578125,9203.3203125,8834.1572265625,8837.380859375,32740536902,2,5,2020,0,0,8984.53203125,9257.2259765625,8350.500712890625,9134.919839607726,8982.495981189304,152.42385841842224,276.0721745043705,48.516297520252,9257.2259765625,386.3405146744883,10029.907005911477,8484.544947213524,0.039158209254817056,0.031029836869508234,0.03528633956068992,-0.000169840153509071,-0.07742546751315338,9653.6796875,0.051482540508492214,1
2020-05-28,9525.7509765625,9546.3193359375,9148.45703125,9184.9453125,34367073114,3,5,2020,0,0,9047.8248046875,9241.380224609375,8394.333759765625,9195.047706831538,9022.73709195769,172.31061487384795,255.319862578266,46.388434960218206,9241.380224609375,367.0841543762442,9975.548533361864,8507.211915856886,0.037548495632866885,0.035314104824301154,0.03639104119163243,0.03436355750765352,-0.03219808927371959,9758.8525390625,0.024470675653135432,1
2020-05-29,9439.1240234375,9573.6669921875,9379.3388671875,9528.35546875,32896642044,4,5,2020,0,0,9177.5759765625,9233.6416015625,8437.074453125,9232.5979093863,9053.5805683636,179.01734102269984,240.0593582671528,52.16625479683101,9233.6416015625,360.83980425281044,9955.321210068121,8511.961993056879,-0.009093976247976698,0.023488684048708616,0.03600066743252501,0.07380303614896322,-0.01613238804374928,9771.4892578125,0.035211449023207164,1
2020-05-30,9700.4140625,9704.0302734375,9366.7294921875,9438.9140625,32722975141,5,5,2020,0,0,9336.271875,9280.840771484374,8493.77287109375,9304.569625249947,9101.494160521852,203.07546472809554,232.66257955934134,55.83163928721865,9280.840771484374,356.849735509047,9994.540242502468,8567.14130046628,0.02768159825145977,0.02416480336849364,0.030047000212898602,0.08908558673286193,0.10780458781130164,9795.7001953125,0.00982289335265163,1
